transacted_price,area_sqm,property_type,tenure,sale_date_raw,planning_area,project_name,sale_month,project_age_years
2850000,155,Condominium,99 yrs lease commencing from 2020,Dec-25,CANBERRA,THE COMMODORE,2024-01,0
1288000,69,Condominium,99 yrs lease commencing from 2020,Nov-25,CANBERRA,THE COMMODORE,2024-01,0
872000,43,Condominium,99 yrs lease commencing from 2020,Nov-25,CANBERRA,THE COMMODORE,2024-01,0
1740000,90,Condominium,99 yrs lease commencing from 2020,Nov-25,CANBERRA,THE COMMODORE,2024-01,0
1120000,58,Condominium,99 yrs lease commencing from 2020,Oct-25,CANBERRA,THE COMMODORE,2024-01,0
1320000,69,Condominium,99 yrs lease commencing from 2020,Sep-25,CANBERRA,THE COMMODORE,2024-01,0
1750000,95,Condominium,99 yrs lease commencing from 2020,Aug-25,CANBERRA,THE COMMODORE,2024-01,0
1340000,69,Condominium,99 yrs lease commencing from 2020,Aug-25,CANBERRA,THE COMMODORE,2024-01,0
866000,43,Condominium,99 yrs lease commencing from 2020,Jul-25,CANBERRA,THE COMMODORE,2024-01,0
1130000,58,Condominium,99 yrs lease commencing from 2020,Jun-25,CANBERRA,THE COMMODORE,2024-01,0
1295000,69,Condominium,99 yrs lease commencing from 2020,Jun-25,CANBERRA,THE COMMODORE,2024-01,0
2250000,110,Condominium,99 yrs lease commencing from 2020,Jun-25,CANBERRA,THE COMMODORE,2024-01,0
1770000,90,Condominium,99 yrs lease commencing from 2020,May-25,CANBERRA,THE COMMODORE,2024-01,0
1360000,69,Condominium,99 yrs lease commencing from 2020,May-25,CANBERRA,THE COMMODORE,2024-01,0
1358888,69,Condominium,99 yrs lease commencing from 2020,May-25,CANBERRA,THE COMMODORE,2024-01,0
1890000,95,Condominium,99 yrs lease commencing from 2020,Apr-25,CANBERRA,THE COMMODORE,2024-01,0
1350000,69,Condominium,99 yrs lease commencing from 2020,Mar-25,CANBERRA,THE COMMODORE,2024-01,0
2450000,132,Condominium,99 yrs lease commencing from 2020,Feb-25,CANBERRA,THE COMMODORE,2024-01,0
1900000,95,Condominium,99 yrs lease commencing from 2020,Feb-25,CANBERRA,THE COMMODORE,2024-01,0
895000,43,Condominium,99 yrs lease commencing from 2020,Feb-25,CANBERRA,THE COMMODORE,2024-01,0
2050000,126,Condominium,99 yrs lease commencing from 2020,Dec-24,CANBERRA,THE COMMODORE,2024-01,0
1904000,126,Condominium,99 yrs lease commencing from 2020,Jun-23,CANBERRA,THE COMMODORE,2024-01,0
2019000,118,Condominium,99 yrs lease commencing from 2020,Jun-23,CANBERRA,THE COMMODORE,2024-01,0
1949000,118,Condominium,99 yrs lease commencing from 2020,Apr-23,CANBERRA,THE COMMODORE,2024-01,0
2549000,155,Condominium,99 yrs lease commencing from 2020,Apr-23,CANBERRA,THE COMMODORE,2024-01,0
1818000,110,Condominium,99 yrs lease commencing from 2020,Apr-23,CANBERRA,THE COMMODORE,2024-01,0
1899000,118,Condominium,99 yrs lease commencing from 2020,Feb-23,CANBERRA,THE COMMODORE,2024-01,0
1766000,110,Condominium,99 yrs lease commencing from 2020,Feb-23,CANBERRA,THE COMMODORE,2024-01,0
1904000,118,Condominium,99 yrs lease commencing from 2020,Feb-23,CANBERRA,THE COMMODORE,2024-01,0
1953000,118,Condominium,99 yrs lease commencing from 2020,Jan-23,CANBERRA,THE COMMODORE,2024-01,0
