Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
THE CHANCERY RESIDENCE,"3,520,000","3,455.24","1,019",May-26,CHANCERY LANE,Resale,Strata,321,"10,966",-,Terrace House,1,99 yrs lease commencing from 2004,11,Core Central Region,01 to 05
THE CHANCERY RESIDENCE,"3,875,000","3,799.69","1,020",Mar-26,CHANCERY LANE,Resale,Strata,353,"10,977",-,Terrace House,1,99 yrs lease commencing from 2004,11,Core Central Region,01 to 05
HILLCREST VILLA,"4,270,000","3,110.8","1,373",Mar-26,HILLCREST ROAD,Resale,Strata,289,"14,775",-,Terrace House,1,99 yrs lease commencing from 2006,11,Core Central Region,-
GILSTEAD BROOKS,"4,828,888","3,821.22","1,264",Feb-26,GILSTEAD ROAD,Resale,Strata,355,"13,603",-,Semi-Detached House,1,Freehold,11,Core Central Region,01 to 05
HILLCREST VILLA,"4,000,000","3,078.5","1,299",Feb-26,HILLCREST ROAD,Resale,Strata,286,"13,986",-,Terrace House,1,99 yrs lease commencing from 2006,11,Core Central Region,-
THE WHITLEY RESIDENCES,"5,058,000","5,715.68",885,Jan-26,WHITLEY ROAD,Resale,Strata,531,"9,525",-,Semi-Detached House,1,Freehold,11,Core Central Region,-
THE WHITLEY RESIDENCES,"5,600,000","6,124.72",914,Jan-26,WHITLEY ROAD,Resale,Strata,569,"9,842",-,Semi-Detached House,1,Freehold,11,Core Central Region,-
THE GREENWOOD,"3,765,000","3,326.08","1,132",Dec-25,GREENWOOD AVENUE,Resale,Strata,309,"12,184",-,Terrace House,1,103 yrs lease commencing from 2008,11,Core Central Region,-
THE WHITLEY RESIDENCES,"5,400,000","6,221.59",868,Dec-25,WHITLEY ROAD,Resale,Strata,578,"9,343",-,Semi-Detached House,1,Freehold,11,Core Central Region,-
VILLAS @ GILSTEAD,"5,200,000","8,654.26",601,Dec-25,GILSTEAD ROAD,Resale,Strata,804,"6,468",-,Detached House,1,Freehold,11,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"5,980,000","5,952.49","1,005",Oct-25,CHANCERY LANE,Resale,Strata,553,"10,814",-,Detached House,1,Freehold,11,Core Central Region,-
THE GREENWOOD,"3,570,000","3,024.68","1,180",Oct-25,GREENWOOD AVENUE,Resale,Strata,281,"12,705",-,Terrace House,1,103 yrs lease commencing from 2008,11,Core Central Region,-
HILLCREST VILLA,"4,210,000","3,153.85","1,335",Sep-25,HILLCREST ROAD,Resale,Strata,293,"14,369",-,Terrace House,1,99 yrs lease commencing from 2006,11,Core Central Region,-
THE WHITLEY RESIDENCES,"5,585,000","7,190.35",777,Sep-25,WHITLEY ROAD,Resale,Strata,668,"8,361",-,Semi-Detached House,1,Freehold,11,Core Central Region,-
GREENWOOD MEWS,"4,430,000","3,315.31","1,336",Sep-25,GREENWOOD AVENUE,Resale,Strata,308,"14,383",-,Terrace House,1,103 yrs lease commencing from 2011,11,Core Central Region,01 to 05
HILLCREST VILLA,"4,280,000","3,153.85","1,357",Sep-25,HILLCREST ROAD,Resale,Strata,293,"14,608",-,Terrace House,1,99 yrs lease commencing from 2006,11,Core Central Region,-
HILLCREST VILLA,"4,038,888","3,089.27","1,307",Aug-25,HILLCREST ROAD,Resale,Strata,287,"14,073",-,Terrace House,1,99 yrs lease commencing from 2006,11,Core Central Region,-
HILLCREST VILLA,"4,030,000","3,100.03","1,300",Jul-25,HILLCREST ROAD,Resale,Strata,288,"13,993",-,Terrace House,1,99 yrs lease commencing from 2006,11,Core Central Region,-
MONTCLAIR @ WHITLEY,"4,180,000","4,327.13",966,Jun-25,WHITLEY ROAD,Resale,Strata,402,"10,398",-,Semi-Detached House,1,Freehold,11,Core Central Region,01 to 05
LANDED HOUSING DEVELOPMENT,"4,200,000","2,863.22","1,467",Mar-25,CHANCERY HILL WALK,Resale,Strata,266,"15,789",-,Terrace House,1,Freehold,11,Core Central Region,-
VILLAS @ GILSTEAD,"4,468,888","6,049.37",739,Mar-25,GILSTEAD ROAD,Resale,Strata,562,"7,952",-,Semi-Detached House,1,Freehold,11,Core Central Region,-
HILLCREST VILLA,"4,260,000","3,153.85","1,351",Mar-25,HILLCREST ROAD,Resale,Strata,293,"14,539",-,Terrace House,1,99 yrs lease commencing from 2006,11,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"4,588,888","4,854.56",945,Mar-25,MOUNT ROSIE ROAD,Resale,Strata,451,"10,175",-,Semi-Detached House,1,Freehold,11,Core Central Region,-
WHITLEY VILLAS,"3,600,000","2,917.04","1,234",Feb-25,WHITLEY ROAD,Resale,Strata,271,"13,284",-,Semi-Detached House,1,Freehold,11,Core Central Region,-
GREENWOOD MEWS,"4,300,000","3,153.85","1,363",Feb-25,GREENWOOD AVENUE,Resale,Strata,293,"14,676",-,Terrace House,1,103 yrs lease commencing from 2011,11,Core Central Region,01 to 05
BARKER 9,"5,800,000","6,458.4",898,Jan-25,BARKER ROAD,Resale,Strata,600,"9,667",-,Semi-Detached House,1,Freehold,11,Core Central Region,-
WHITLEY VILLAS,"3,700,000","2,895.52","1,278",Jan-25,WHITLEY ROAD,Resale,Strata,269,"13,755",-,Semi-Detached House,1,Freehold,11,Core Central Region,-
HILLCREST VILLA,"4,200,000","3,218.44","1,305",Jan-25,HILLCREST ROAD,Resale,Strata,299,"14,047",-,Terrace House,1,99 yrs lease commencing from 2006,11,Core Central Region,-
HILLCREST VILLA,"4,100,000","3,089.27","1,327",Jan-25,HILLCREST ROAD,Resale,Strata,287,"14,286",-,Terrace House,1,99 yrs lease commencing from 2006,11,Core Central Region,-
THE WHITLEY RESIDENCES,"4,600,000","5,155.96",892,Dec-24,WHITLEY ROAD,Resale,Strata,479,"9,603",-,Semi-Detached House,1,Freehold,11,Core Central Region,-
HILLCREST VILLA,"4,160,000","3,153.85","1,319",Oct-24,HILLCREST ROAD,Resale,Strata,293,"14,198",-,Terrace House,1,99 yrs lease commencing from 2006,11,Core Central Region,-
VILLAS @ GILSTEAD,"3,900,000","4,014.97",971,Sep-24,GILSTEAD ROAD,Resale,Strata,373,"10,456",-,Terrace House,1,Freehold,11,Core Central Region,-
HILLCREST VILLA,"4,058,000","3,153.85","1,287",Aug-24,HILLCREST ROAD,Resale,Strata,293,"13,850",-,Terrace House,1,99 yrs lease commencing from 2006,11,Core Central Region,-
BARKER 9,"5,350,000","4,639.28","1,153",Aug-24,BARKER ROAD,Resale,Strata,431,"12,413",-,Semi-Detached House,1,Freehold,11,Core Central Region,-
BARKER VILLE,"3,420,000","3,864.28",885,Aug-24,BARKER ROAD,Resale,Strata,359,"9,526",-,Semi-Detached House,1,Freehold,11,Core Central Region,-
HILLCREST VILLA,"4,100,000","3,089.27","1,327",Aug-24,HILLCREST ROAD,Resale,Strata,287,"14,286",-,Terrace House,1,99 yrs lease commencing from 2006,11,Core Central Region,-
GILSTEAD BROOKS,"3,950,000","2,992.39","1,320",Aug-24,GILSTEAD ROAD,Resale,Strata,278,"14,209",-,Terrace House,1,Freehold,11,Core Central Region,01 to 05
HILLCREST VILLA,"3,950,000","3,100.03","1,274",Jul-24,HILLCREST ROAD,Resale,Strata,288,"13,715",-,Terrace House,1,99 yrs lease commencing from 2006,11,Core Central Region,-
LORNIE 18,"6,800,000","4,929.91","1,379",Jul-24,LORNIE ROAD,Resale,Strata,458,"14,847",-,Detached House,1,Freehold,11,Core Central Region,-
HILLCREST VILLA,"4,120,000","3,089.27","1,334",Jul-24,HILLCREST ROAD,Resale,Strata,287,"14,355",-,Terrace House,1,99 yrs lease commencing from 2006,11,Core Central Region,-
HILLCREST VILLA,"4,000,000","3,153.85","1,268",Jun-24,HILLCREST ROAD,Resale,Strata,293,"13,652",-,Terrace House,1,99 yrs lease commencing from 2006,11,Core Central Region,-
WHITLEY VILLAS,"3,850,000","3,024.68","1,273",Jun-24,WHITLEY ROAD,Resale,Strata,281,"13,701",-,Semi-Detached House,1,Freehold,11,Core Central Region,-
HILLCREST VILLA,"3,928,000","3,089.27","1,271",May-24,HILLCREST ROAD,Resale,Strata,287,"13,686",-,Terrace House,1,99 yrs lease commencing from 2006,11,Core Central Region,-
LORNIE 18,"6,280,000","4,391.71","1,430",May-24,LORNIE ROAD,Resale,Strata,408,"15,392",-,Detached House,1,Freehold,11,Core Central Region,-
VILLAS @ GILSTEAD,"4,620,000","7,168.82",644,Apr-24,GILSTEAD ROAD,Resale,Strata,666,"6,937",-,Semi-Detached House,1,Freehold,11,Core Central Region,-
VILLAS @ GILSTEAD,"4,000,000","4,014.97",996,Apr-24,GILSTEAD ROAD,Resale,Strata,373,"10,724",-,Terrace House,1,Freehold,11,Core Central Region,-
ORCHID VILLAGE,"6,550,000","4,811.51","1,361",Apr-24,VANDA CRESCENT,Resale,Strata,447,"14,653",-,Detached House,1,Freehold,11,Core Central Region,-
HILLCREST VILLA,"3,980,000","3,153.85","1,262",Apr-24,HILLCREST ROAD,Resale,Strata,293,"13,584",-,Terrace House,1,99 yrs lease commencing from 2006,11,Core Central Region,-
THE WHITLEY RESIDENCES,"5,100,000","6,081.66",839,Mar-24,WHITLEY ROAD,Resale,Strata,565,"9,027",-,Semi-Detached House,1,Freehold,11,Core Central Region,-
HILLCREST VILLA,"3,968,000","3,153.85","1,258",Mar-24,HILLCREST ROAD,Resale,Strata,293,"13,543",-,Terrace House,1,99 yrs lease commencing from 2006,11,Core Central Region,-
THE GREENWOOD,"3,530,000","3,013.92","1,171",Feb-24,GREENWOOD AVENUE,Resale,Strata,280,"12,607",-,Terrace House,1,103 yrs lease commencing from 2008,11,Core Central Region,-
HILLCREST VILLA,"3,950,000","3,164.62","1,248",Jan-24,HILLCREST ROAD,Resale,Strata,294,"13,435",-,Terrace House,1,99 yrs lease commencing from 2006,11,Core Central Region,-
THE CHANCERY RESIDENCE,"3,400,000","3,207.67","1,060",Jan-24,CHANCERY LANE,Resale,Strata,298,"11,409",-,Terrace House,1,99 yrs lease commencing from 2004,11,Core Central Region,01 to 05
HILLCREST VILLA,"3,820,000","3,078.5","1,241",Jan-24,HILLCREST ROAD,Resale,Strata,286,"13,357",-,Terrace House,1,99 yrs lease commencing from 2006,11,Core Central Region,-
HILLCREST VILLA,"3,980,000","3,143.09","1,266",Dec-23,HILLCREST ROAD,Resale,Strata,292,"13,630",-,Terrace House,1,99 yrs lease commencing from 2006,11,Core Central Region,-
HILLCREST VILLA,"4,060,000","3,100.03","1,310",Nov-23,HILLCREST ROAD,Resale,Strata,288,"14,097",-,Terrace House,1,99 yrs lease commencing from 2006,11,Core Central Region,-
THE GREENWOOD,"3,750,000","3,681.29","1,019",Nov-23,GREENWOOD AVENUE,Resale,Strata,342,"10,965",-,Terrace House,1,103 yrs lease commencing from 2008,11,Core Central Region,-
ORCHID VILLAGE,"6,500,000","4,822.27","1,348",Nov-23,VANDA CRESCENT,Resale,Strata,448,"14,509",-,Detached House,1,Freehold,11,Core Central Region,-
LORNIE 18,"5,788,888","4,402.48","1,315",Nov-23,LORNIE ROAD,Resale,Strata,409,"14,154",-,Detached House,1,Freehold,11,Core Central Region,-
LORNIE 18,"6,118,000","4,703.87","1,301",Oct-23,LORNIE ROAD,Resale,Strata,437,"14,000",-,Detached House,1,Freehold,11,Core Central Region,-
LORNIE 18,"5,980,000","4,542.41","1,316",Oct-23,LORNIE ROAD,Resale,Strata,422,"14,171",-,Detached House,1,Freehold,11,Core Central Region,-
WHITLEY VILLAS,"4,000,000","3,003.16","1,332",Oct-23,WHITLEY ROAD,Resale,Strata,279,"14,337",-,Semi-Detached House,1,Freehold,11,Core Central Region,-
FIVE CHANCERY,"6,038,000","5,252.83","1,149",Sep-23,CHANCERY LANE,Resale,Strata,488,"12,373",-,Detached House,1,Freehold,11,Core Central Region,-
HILLCREST VILLA,"3,850,000","3,089.27","1,246",Sep-23,HILLCREST ROAD,Resale,Strata,287,"13,415",-,Terrace House,1,99 yrs lease commencing from 2006,11,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"4,350,000","4,854.56",896,Sep-23,MOUNT ROSIE ROAD,Resale,Strata,451,"9,645",-,Semi-Detached House,1,Freehold,11,Core Central Region,-
HILLCREST VILLA,"4,098,888","3,089.27","1,327",Aug-23,HILLCREST ROAD,Resale,Strata,287,"14,282",-,Terrace House,1,99 yrs lease commencing from 2006,11,Core Central Region,-
WATTEN RESIDENCES,"4,750,000","4,004.21","1,186",Aug-23,WATTEN RISE,Resale,Strata,372,"12,769",-,Semi-Detached House,1,Freehold,11,Core Central Region,-
LORNIE 18,"5,960,000","4,574.7","1,303",Aug-23,LORNIE ROAD,Resale,Strata,425,"14,024",-,Detached House,1,Freehold,11,Core Central Region,-
GENTLE REFLECTIONS,"3,750,000","3,272.26","1,146",Aug-23,GENTLE ROAD,Resale,Strata,304,"12,336",-,Terrace House,1,Freehold,11,Core Central Region,-
HILLCREST VILLA,"3,900,000","3,164.62","1,232",Jul-23,HILLCREST ROAD,Resale,Strata,294,"13,265",-,Terrace House,1,99 yrs lease commencing from 2006,11,Core Central Region,-
GREENWOOD MEWS,"5,312,088","3,315.31","1,602",Jun-23,GREENWOOD AVENUE,Resale,Strata,308,"17,247",-,Terrace House,1,103 yrs lease commencing from 2011,11,Core Central Region,01 to 05
KEW LODGE,"66,800,000","25,177","2,653",May-23,KHEAM HOCK ROAD,Resale,Strata,"2,339","28,559",-,Terrace House,11,Freehold,11,Core Central Region,-
HILLCREST VILLA,"4,088,000","3,153.85","1,296",Apr-23,HILLCREST ROAD,Resale,Strata,293,"13,952",-,Terrace House,1,99 yrs lease commencing from 2006,11,Core Central Region,-
HILLCREST VILLA,"4,100,000","3,153.85","1,300",Apr-23,HILLCREST ROAD,Resale,Strata,293,"13,993",-,Terrace House,1,99 yrs lease commencing from 2006,11,Core Central Region,-
CHANCERY HILL VILLAS,"5,350,000","7,416.4",721,Apr-23,CHANCERY HILL ROAD,Resale,Strata,689,"7,765",-,Semi-Detached House,1,Freehold,11,Core Central Region,-
THE GREENWOOD,"3,480,000","3,024.68","1,151",Apr-23,GREENWOOD AVENUE,Resale,Strata,281,"12,384",-,Terrace House,1,103 yrs lease commencing from 2008,11,Core Central Region,-
THE CHANCERY RESIDENCE,"3,500,000","3,379.9","1,036",Apr-23,CHANCERY LANE,Resale,Strata,314,"11,146",-,Terrace House,1,99 yrs lease commencing from 2004,11,Core Central Region,01 to 05
THE GREENWOOD,"3,760,000","3,315.31","1,134",Mar-23,GREENWOOD AVENUE,Resale,Strata,308,"12,208",-,Terrace House,1,103 yrs lease commencing from 2008,11,Core Central Region,-
HILLCREST VILLA,"4,000,000","3,153.85","1,268",Mar-23,HILLCREST ROAD,Resale,Strata,293,"13,652",-,Terrace House,1,99 yrs lease commencing from 2006,11,Core Central Region,-
HILLCREST VILLA,"3,808,000","3,089.27","1,233",Mar-23,HILLCREST ROAD,Resale,Strata,287,"13,268",-,Terrace House,1,99 yrs lease commencing from 2006,11,Core Central Region,-
THE CHANCERY RESIDENCE,"3,335,000","3,476.77",959,Feb-23,CHANCERY LANE,Resale,Strata,323,"10,325",-,Terrace House,1,99 yrs lease commencing from 2004,11,Core Central Region,01 to 05
HILLCREST VILLA,"3,950,000","3,164.62","1,248",Feb-23,HILLCREST ROAD,Resale,Strata,294,"13,435",-,Terrace House,1,99 yrs lease commencing from 2006,11,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"9,578,800","2,488.64","3,849",Feb-23,MOUNT ROSIE ROAD,New Sale,Strata,231.2,"41,431",-,Terrace House,1,Freehold,11,Core Central Region,-
HILLCREST VILLA,"3,780,000","3,089.27","1,224",Feb-23,HILLCREST ROAD,Resale,Strata,287,"13,171",-,Terrace House,1,99 yrs lease commencing from 2006,11,Core Central Region,-
HILLCREST VILLA,"3,680,000","3,100.03","1,187",Jan-23,HILLCREST ROAD,Resale,Strata,288,"12,778",-,Terrace House,1,99 yrs lease commencing from 2006,11,Core Central Region,-
HILLCREST VILLA,"3,900,000","3,035.45","1,285",Jan-23,HILLCREST ROAD,Resale,Strata,282,"13,830",-,Terrace House,1,99 yrs lease commencing from 2006,11,Core Central Region,-
MONTCLAIR @ WHITLEY,"3,960,000","4,025.74",984,Dec-22,WHITLEY ROAD,Resale,Strata,374,"10,588",-,Semi-Detached House,1,Freehold,11,Core Central Region,01 to 05
VILLAS @ GILSTEAD,"4,688,888","7,448.69",629,Nov-22,GILSTEAD ROAD,Resale,Strata,692,"6,776",-,Semi-Detached House,1,Freehold,11,Core Central Region,-
THE CHANCERY RESIDENCE,"3,152,000","3,175.38",993,Nov-22,CHANCERY LANE,Resale,Strata,295,"10,685",-,Terrace House,1,99 yrs lease commencing from 2004,11,Core Central Region,01 to 05
VILLAS @ GILSTEAD,"4,150,000","5,371.24",773,Oct-22,GILSTEAD ROAD,Resale,Strata,499,"8,317",-,Semi-Detached House,1,Freehold,11,Core Central Region,-
FIVE CHANCERY,"7,488,888","6,512.22","1,150",Sep-22,CHANCERY LANE,Resale,Strata,605,"12,378",-,Detached House,1,Freehold,11,Core Central Region,-
HILLCREST VILLA,"3,450,000","2,917.04","1,183",Sep-22,HILLCREST ROAD,Resale,Strata,271,"12,731",-,Terrace House,1,99 yrs lease commencing from 2006,11,Core Central Region,-
WATTEN RESIDENCES,"4,550,000","4,090.32","1,112",Sep-22,WATTEN RISE,Resale,Strata,380,"11,974",-,Semi-Detached House,1,Freehold,11,Core Central Region,-
HILLCREST VILLA,"3,438,000","3,089.27","1,113",Aug-22,HILLCREST ROAD,Resale,Strata,287,"11,979",-,Terrace House,1,99 yrs lease commencing from 2006,11,Core Central Region,-
THE WHITLEY RESIDENCES,"5,300,000","6,124.72",865,Jul-22,WHITLEY ROAD,Resale,Strata,569,"9,315",-,Semi-Detached House,1,Freehold,11,Core Central Region,-
GREENWOOD MEWS,"4,082,000","3,175.38","1,286",Jul-22,GREENWOOD AVENUE,Resale,Strata,295,"13,837",-,Terrace House,1,103 yrs lease commencing from 2011,11,Core Central Region,01 to 05
HILLCREST VILLA,"3,350,000","3,153.85","1,062",Jul-22,HILLCREST ROAD,Resale,Strata,293,"11,433",-,Terrace House,1,99 yrs lease commencing from 2006,11,Core Central Region,-
THE GREENWOOD,"3,330,000","2,992.39","1,113",Jul-22,GREENWOOD AVENUE,Resale,Strata,278,"11,978",-,Terrace House,1,103 yrs lease commencing from 2008,11,Core Central Region,-
THE GREENWOOD,"3,200,000","2,992.39","1,069",Jun-22,GREENWOOD AVENUE,Resale,Strata,278,"11,511",-,Terrace House,1,103 yrs lease commencing from 2008,11,Core Central Region,-
WATTEN RESIDENCES,"3,900,000","2,949.34","1,322",Jun-22,WATTEN RISE,Resale,Strata,274,"14,234",-,Terrace House,1,Freehold,11,Core Central Region,-
THE GREENWOOD,"3,250,000","2,981.63","1,090",Jun-22,GREENWOOD AVENUE,Resale,Strata,277,"11,733",-,Terrace House,1,103 yrs lease commencing from 2008,11,Core Central Region,-
CHANCERY HILL VILLAS,"5,000,000","5,651.1",885,Jun-22,CHANCERY HILL ROAD,Resale,Strata,525,"9,524",-,Semi-Detached House,1,Freehold,11,Core Central Region,-
THE WHITLEY RESIDENCES,"5,000,000","5,564.99",898,May-22,WHITLEY ROAD,Resale,Strata,517,"9,671",-,Semi-Detached House,1,Freehold,11,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"3,925,000","4,854.56",809,May-22,MOUNT ROSIE ROAD,Resale,Strata,451,"8,703",-,Semi-Detached House,1,Freehold,11,Core Central Region,-
THE WHITLEY RESIDENCES,"4,980,000","6,221.59",800,May-22,WHITLEY ROAD,Resale,Strata,578,"8,616",-,Semi-Detached House,1,Freehold,11,Core Central Region,-
GREENWOOD MEWS,"4,067,000","3,175.38","1,281",May-22,GREENWOOD AVENUE,Resale,Strata,295,"13,786",-,Terrace House,1,103 yrs lease commencing from 2011,11,Core Central Region,01 to 05
CHANCERY HILL VILLAS,"5,300,000","6,469.16",819,May-22,CHANCERY HILL ROAD,Resale,Strata,601,"8,819",-,Semi-Detached House,1,Freehold,11,Core Central Region,-
THE WHITLEY RESIDENCES,"4,880,000","5,661.86",862,May-22,WHITLEY ROAD,Resale,Strata,526,"9,278",-,Semi-Detached House,1,Freehold,11,Core Central Region,-
THE WHITLEY RESIDENCES,"4,850,000","5,769.5",841,May-22,WHITLEY ROAD,Resale,Strata,536,"9,049",-,Semi-Detached House,1,Freehold,11,Core Central Region,-
THE WHITLEY RESIDENCES,"5,000,000","5,877.14",851,Apr-22,WHITLEY ROAD,Resale,Strata,546,"9,158",-,Semi-Detached House,1,Freehold,11,Core Central Region,-
HILLCREST VILLA,"3,350,000","2,917.04","1,148",Apr-22,HILLCREST ROAD,Resale,Strata,271,"12,362",-,Terrace House,1,99 yrs lease commencing from 2006,11,Core Central Region,-
MONTCLAIR @ WHITLEY,"3,868,000","4,273.31",905,Apr-22,WHITLEY ROAD,Resale,Strata,397,"9,743",-,Semi-Detached House,1,Freehold,11,Core Central Region,01 to 05
THE WHITLEY RESIDENCES,"4,980,000","6,124.72",813,Apr-22,WHITLEY ROAD,Resale,Strata,569,"8,752",-,Semi-Detached House,1,Freehold,11,Core Central Region,-
THE WHITLEY RESIDENCES,"5,000,000","5,564.99",898,Apr-22,WHITLEY ROAD,Resale,Strata,517,"9,671",-,Semi-Detached House,1,Freehold,11,Core Central Region,-
