Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
BOTANIQUE AT BARTLEY,"2,140,000","1,130.22","1,893",Dec-23,UPPER PAYA LEBAR ROAD,Resale,Strata,105,"20,381",-,Condominium,1,99 yrs lease commencing from 2014,19,Outside Central Region,06 to 10
BOTANIQUE AT BARTLEY,"1,410,000",731.95,"1,926",Dec-23,UPPER PAYA LEBAR ROAD,Resale,Strata,68,"20,735",-,Condominium,1,99 yrs lease commencing from 2014,19,Outside Central Region,06 to 10
RIVERFRONT RESIDENCES,"1,680,000",914.94,"1,836",Dec-23,HOUGANG AVENUE 7,Sub Sale,Strata,85,"19,765",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
SENGKANG GRAND RESIDENCES,"1,270,000",624.31,"2,034",Dec-23,COMPASSVALE BOW,Sub Sale,Strata,58,"21,897",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
PARC VERA,"985,000",785.77,"1,254",Dec-23,HOUGANG STREET 32,Resale,Strata,73,"13,493",-,Condominium,1,99 yrs lease commencing from 2010,19,Outside Central Region,01 to 05
A TREASURE TROVE,"1,198,000",775.01,"1,546",Dec-23,PUNGGOL WALK,Resale,Strata,72,"16,639",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05
OASIS GARDEN,"2,150,000","1,227.1","1,752",Dec-23,JALAN BUNGA RAMPAI,Resale,Strata,114,"18,860",-,Condominium,1,Freehold,19,Rest of Central Region,16 to 20
RIVER ISLES,"1,400,000","1,076.4","1,301",Dec-23,EDGEDALE PLAINS,Resale,Strata,100,"14,000",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,11 to 15
KENSINGTON PARK CONDOMINIUM,"2,830,000","1,668.42","1,696",Dec-23,KENSINGTON PARK DRIVE,Resale,Strata,155,"18,258",-,Condominium,1,999 yrs lease commencing from 1878,19,Outside Central Region,11 to 15
THE FLORENCE RESIDENCES,"1,130,000",635.08,"1,779",Dec-23,HOUGANG AVENUE 2,Sub Sale,Strata,59,"19,153",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
PEOPLE'S GARDEN,"1,550,000","1,194.8","1,297",Dec-23,LORONG 1 REALTY PARK,Resale,Strata,111,"13,964",-,Apartment,1,999 yrs lease commencing from 1879,19,Outside Central Region,01 to 05
KINGSFORD WATERBAY,"1,140,000",850.36,"1,341",Dec-23,UPPER SERANGOON VIEW,Resale,Strata,79,"14,430",-,Apartment,1,99 yrs lease commencing from 2014,19,Outside Central Region,11 to 15
AFFINITY AT SERANGOON,"1,600,000",850.36,"1,882",Dec-23,SERANGOON NORTH AVENUE 1,Sub Sale,Strata,79,"20,253",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
RIVERVALE CREST,"998,000",990.29,"1,008",Dec-23,RIVERVALE CRESCENT,Resale,Strata,92,"10,848",-,Apartment,1,99 yrs lease commencing from 1997,19,Outside Central Region,01 to 05
TERRASSE,"2,300,000","1,872.94","1,228",Dec-23,TERRASSE LANE,Resale,Strata,174,"13,218",-,Condominium,1,99 yrs lease commencing from 2010,19,Outside Central Region,01 to 05
THE FLORENCE RESIDENCES,"1,268,888",721.19,"1,759",Dec-23,HOUGANG AVENUE 2,Sub Sale,Strata,67,"18,939",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
RIVER ISLES,"960,000",753.48,"1,274",Dec-23,EDGEDALE PLAINS,Resale,Strata,70,"13,714",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,01 to 05
THE MINTON,"1,858,000","1,216.33","1,528",Dec-23,HOUGANG STREET 11,Resale,Strata,113,"16,442",-,Condominium,1,99 yrs lease commencing from 2007,19,Outside Central Region,06 to 10
AFFINITY AT SERANGOON,"955,000",613.55,"1,557",Dec-23,SERANGOON NORTH AVENUE 1,Sub Sale,Strata,57,"16,754",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
