Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
WESTWOOD PARK,"2,300,000","1,879.39","1,224",Jun-26,WESTWOOD DRIVE,Resale,Land,174.6,"13,173",-,Terrace House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
LAKESIDE GROVE,"2,490,000","1,618.91","1,538",Jun-26,CORPORATION WALK,Resale,Land,150.4,"16,556",-,Terrace House,1,99 yrs lease commencing from 1996,22,Outside Central Region,-
LAKESIDE GROVE,"2,638,000","1,617.83","1,631",Jun-26,CORPORATION WALK,Resale,Land,150.3,"17,552",-,Terrace House,1,99 yrs lease commencing from 1996,22,Outside Central Region,-
LAKESIDE GROVE,"2,450,000","1,616.75","1,515",May-26,CORPORATION WALK,Resale,Land,150.2,"16,312",-,Terrace House,1,99 yrs lease commencing from 1996,22,Outside Central Region,-
WESTVILLE,"2,420,000","1,617.83","1,496",May-26,WESTWOOD TERRACE,Resale,Land,150.3,"16,101",-,Terrace House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
LAKESIDE GROVE,"2,580,000","1,618.91","1,594",Apr-26,CORPORATION WALK,Resale,Land,150.4,"17,154",-,Terrace House,1,99 yrs lease commencing from 1996,22,Outside Central Region,-
LAKESIDE GROVE,"3,280,000","2,256.13","1,454",Mar-26,CORPORATION WALK,Resale,Land,209.6,"15,649",-,Semi-Detached House,1,99 yrs lease commencing from 1996,22,Outside Central Region,-
WESTVILLE,"2,290,000","1,610.29","1,422",Mar-26,WESTWOOD AVENUE,Resale,Land,149.6,"15,307",-,Terrace House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
WESTVILLE,"2,220,000","2,314.26",959,Feb-26,WESTWOOD TERRACE,Resale,Land,215,"10,326",-,Terrace House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
YUNNAN GARDENS,"5,200,000","4,228.1","1,230",Feb-26,YUNNAN CRESCENT,Resale,Land,392.8,"13,238",-,Terrace House,1,Freehold,22,Outside Central Region,-
YUNNAN GARDENS,"4,100,000","2,549.99","1,608",Feb-26,YUNNAN WALK 1,Resale,Land,236.9,"17,307",-,Terrace House,1,Freehold,22,Outside Central Region,-
WESTVILLE,"2,490,000","2,174.33","1,145",Jan-26,WESTWOOD ROAD,Resale,Land,202,"12,327",-,Terrace House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
YUNNAN GARDENS,"4,880,000","2,551.07","1,913",Dec-25,YUNNAN WALK 1,Resale,Land,237,"20,591",-,Terrace House,1,Freehold,22,Outside Central Region,-
WESTVILLE,"2,380,000","1,612.45","1,476",Dec-25,WESTWOOD AVENUE,Resale,Land,149.8,"15,888",-,Terrace House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
WESTVILLE,"2,600,000","1,733","1,500",Dec-25,WESTWOOD TERRACE,Resale,Land,161,"16,149",-,Terrace House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
