estate,segment,n,resid_raw,resid_shrunk,trust,score,value_score,value_band,mult,reported
BUKIT PANJANG,hdb_resale,8317,-0.1351726903852999,-0.1346868654527991,decimal,4.091,4.6808340244290285,A,1.144178446450508,4.68
CHOA CHU KANG,hdb_resale,10482,-0.1670329679397602,-0.16655627567965575,decimal,3.753,4.4331562219812595,B+,1.1812300085215186,4.43
SEMBAWANG,hdb_resale,7097,-0.13443043353373518,-0.13386456949472336,decimal,3.858,4.410612126309928,B+,1.1432379798626044,4.41
BEDOK,hdb_resale,12109,-0.013482736705624276,-0.01344941583065979,decimal,4.323,4.381534570181835,B+,1.0135402660610304,4.38
TOA PAYOH,hdb_resale,7637,0.03977085272512326,0.0396152344152591,decimal,4.548,4.371351991533962,B+,0.9611591889916364,4.37
HOUGANG,hdb_resale,11764,-0.053703470732005876,-0.05356686702486789,decimal,4.136,4.363593888736798,B+,1.0550275359615082,4.36
JURONG EAST,hdb_resale,4743,-0.08321520171508823,-0.08269216462070779,decimal,4.01,4.355691609900067,B+,1.0862073840149793,4.36
YISHUN,hdb_resale,15822,-0.0958323843964255,-0.09565102106486367,decimal,3.946,4.342079707733895,B+,1.1003749892888735,4.34
SENGKANG,hdb_resale,18916,-0.08438959067814711,-0.08425596417543574,decimal,3.817,4.1525422537014025,B+,1.0879073234742997,4.15
CANBERRA,hdb_resale,7097,-0.13443043353373518,-0.13386456949472336,decimal,3.489,3.9887573117406268,B,1.1432379798626044,3.99
BUKIT BATOK,hdb_resale,9855,-0.059238337208528336,-0.059058554698029495,decimal,3.71,3.9357065905099757,B,1.060837355932608,3.94
ANG MO KIO,hdb_resale,9469,0.0156067579478254,0.015557468260657322,decimal,3.92,3.8594866621079973,B,0.9845629240071422,3.86
WOODLANDS,hdb_resale,16583,-0.12038559121279135,-0.12016819713969144,decimal,3.36,3.7890266711617024,B,1.1276865092743162,3.79
WOODLEIGH,hdb_resale,7637,0.03977085272512326,0.0396152344152591,decimal,3.859,3.709113310318725,B,0.9611591889916364,3.71
PUNGGOL,hdb_resale,16881,-0.013053301815377338,-0.013030145345949954,decimal,3.634,3.6816613912690332,B,1.0131154076139333,3.68
LENTOR,hdb_resale,9469,0.0156067579478254,0.015557468260657322,decimal,3.665,3.608423116486176,B,0.9845629240071422,3.61
BOON KENG,hdb_resale,7104,0.13433304685534964,0.13376814758346353,decimal,4.118,3.6023970136725523,B,0.8747928639321398,3.6
TAMPINES WEST,hdb_resale,16029,0.05414715149840177,0.05404599859069102,decimal,3.75,3.5527069761091132,B,0.9473885269624301,3.55
TAMPINES EAST,hdb_resale,16029,0.05414715149840177,0.05404599859069102,decimal,3.729,3.532811817042902,B,0.9473885269624301,3.53
GEYLANG,hdb_resale,5796,0.09729507790623959,0.09679407338561445,decimal,3.885,3.5265812259914235,B,0.9077429153131078,3.53
CENTRAL AREA,hdb_resale,1815,0.2240581716664618,0.22041494936295575,decimal,4.38,3.5135740772199555,B,0.8021858623789853,3.51
BUKIT MERAH,hdb_resale,8897,0.18415488297655003,0.18353601364874994,decimal,4.184,3.48243483064421,C,0.8323219002495721,3.48
CLEMENTI,hdb_resale,5181,0.0984849672437651,0.09791798412780121,decimal,3.833,3.4754702801263693,C,0.9067232664039575,3.48
PASIR RIS,hdb_resale,6719,-0.025263275249848505,-0.025150977389792106,decimal,3.361,3.4466044401453537,C,1.0254699316112328,3.45
TAMPINES,hdb_resale,16029,0.05414715149840177,0.05404599859069102,decimal,3.533,3.3471236657582657,C,0.9473885269624301,3.35
BUKIT TIMAH,hdb_resale,567,0.38754034569787343,0.3680659564668667,decimal,3.914,2.9355,D,0.75,2.94
BISHAN,hdb_resale,4063,0.26864943503494665,0.26668034560151804,decimal,3.709,2.8407893477562918,D,0.7659178613524648,2.84
DOVER,hdb_resale,6353,0.2435580948669127,0.24241337563677293,decimal,3.409,2.6751504386625697,D,0.784731721520261,2.68
QUEENSTOWN,hdb_resale,6353,0.2435580948669127,0.24241337563677293,decimal,3.364,2.639837511194158,D,0.784731721520261,2.64
SERANGOON,hdb_resale,4095,0.15275368961594715,0.15164275369147365,decimal,3.062,2.631161920631672,D,0.8592952059541711,2.63
MARINE PARADE,hdb_resale,1419,0.3326052212381221,0.3257189847735821,decimal,2.824,2.118,F,0.75,2.12
