estate,segment,n,resid_raw,resid_shrunk,trust,score,value_score,value_band,mult,reported
BUKIT PANJANG,hdb_resale,8317,-0.15269919277799637,-0.15215037574393128,decimal,4.269,4.970547442901819,A,1.1643353110568795,4.97
BEDOK,hdb_resale,12109,-0.036082197341462674,-0.035993024763800154,decimal,4.594,4.7623637400514935,A,1.0366486155967551,4.76
YISHUN,hdb_resale,15822,-0.10616884901531076,-0.10596792386577374,decimal,4.069,4.523858105297992,A,1.1117862141307429,4.52
HOUGANG,hdb_resale,11764,-0.059725417879348264,-0.05957349634836794,decimal,4.197,4.454627665666863,B+,1.061383765943975,4.45
TOA PAYOH,hdb_resale,7637,0.03868489836317934,0.038533529255197874,decimal,4.548,4.376083063891026,B+,0.9621994423682995,4.38
CHOA CHU KANG,hdb_resale,10482,-0.15995740575879935,-0.15950090631314054,decimal,3.724,4.367973911260351,B+,1.1729253252578815,4.37
SENGKANG,hdb_resale,18916,-0.09743187864633018,-0.0972776003628196,decimal,3.96,4.364578519963969,B+,1.102166292920194,4.36
SEMBAWANG,hdb_resale,7097,-0.11953868241660892,-0.11903550289191414,decimal,3.695,4.162084611492533,B+,1.126409908387695,4.16
BUKIT BATOK,hdb_resale,9855,-0.06764443369539919,-0.06743913951119448,decimal,3.876,4.146409725999452,B+,1.069765151186649,4.15
ANG MO KIO,hdb_resale,9469,0.0066939751606405196,0.006672834066333987,decimal,4.131,4.10352628817484,B+,0.9933493798535076,4.1
JURONG EAST,hdb_resale,4743,-0.05437283110811286,-0.05403107855557885,decimal,3.752,3.960301305817541,B,1.05551740560169,3.96
CENTRAL AREA,hdb_resale,1815,0.19421734705076865,0.19105934140766753,decimal,4.743,3.9181143522812807,B,0.8260835657350369,3.92
CANBERRA,hdb_resale,7097,-0.11953868241660892,-0.11903550289191414,decimal,3.464,3.9018839226549757,B,1.126409908387695,3.9
PASIR RIS,hdb_resale,6719,-0.041360198775723944,-0.04117634843296603,decimal,3.672,3.826355643890792,B,1.0420358507327865,3.83
GEYLANG,hdb_resale,5796,0.08977125620023241,0.08930899432484526,decimal,4.08,3.7314167754250174,B,0.9145629351531905,3.73
BOON KENG,hdb_resale,7104,0.1293446480934799,0.12880072610822577,decimal,4.22,3.7100093689503315,B,0.8791491395616899,3.71
CLEMENTI,hdb_resale,5181,0.090402136969983,0.08988168713135355,decimal,4.043,3.6954609767773183,B,0.91403932148833,3.7
TAMPINES WEST,hdb_resale,16029,0.056563609796693726,0.056457942675833185,decimal,3.854,3.6424394192783485,B,0.9451062322984817,3.64
WOODLEIGH,hdb_resale,7637,0.03868489836317934,0.038533529255197874,decimal,3.781,3.6380760915945403,B,0.9621994423682995,3.64
BUKIT MERAH,hdb_resale,8897,0.17761279720386725,0.17701591315366957,decimal,4.288,3.592342550080721,B,0.8377664529106158,3.59
LENTOR,hdb_resale,9469,0.0066939751606405196,0.006672834066333987,decimal,3.567,3.5432772379374615,B,0.9933493798535076,3.54
WOODLANDS,hdb_resale,16583,-0.09407816626401733,-0.09390827852622632,decimal,3.187,3.500788798003891,B,1.098458989019106,3.5
TAMPINES,hdb_resale,16029,0.056563609796693726,0.056457942675833185,decimal,3.628,3.4288454107788917,C,0.9451062322984817,3.43
TAMPINES EAST,hdb_resale,16029,0.056563609796693726,0.056457942675833185,decimal,3.608,3.409943286132922,C,0.9451062322984817,3.41
PUNGGOL,hdb_resale,16881,0.015441195158309995,0.015413802582191029,decimal,3.332,3.2810350010529197,C,0.9847043820687034,3.28
BUKIT TIMAH,hdb_resale,567,0.3963500039250718,0.3764329183006988,decimal,3.874,2.9055,D,0.75,2.91
BISHAN,hdb_resale,4063,0.279172406950579,0.27712618847793885,decimal,3.693,2.7991420160715133,D,0.7579588454025219,2.8
QUEENSTOWN,hdb_resale,6353,0.2549344178951145,0.25373623012496693,decimal,3.457,2.6822739694435977,D,0.7758964331627416,2.68
SERANGOON,hdb_resale,4095,0.17336199202859603,0.1721011775411157,decimal,3.064,2.579563179524823,D,0.8418939880955688,2.58
DOVER,hdb_resale,6353,0.2549344178951145,0.25373623012496693,decimal,3.28,2.544940300773792,D,0.7758964331627416,2.54
MARINE PARADE,hdb_resale,1419,0.3432004782198703,0.336094878256727,decimal,3.043,2.2822500000000003,F,0.75,2.28
