estate,segment,n,resid_raw,resid_shrunk,trust,score,value_score,value_band,mult,reported
BUKIT PANJANG,hdb_resale,8317,-0.1289672583611967,-0.1285037364070987,decimal,4.232,4.812315835641882,A,1.1371256700477035,4.81
SEMBAWANG,hdb_resale,7097,-0.13361912329435377,-0.13305667433983562,decimal,3.978,4.5441280215183575,A,1.142314736429954,4.54
CHOA CHU KANG,hdb_resale,10482,-0.16857763348154098,-0.16809653292936572,decimal,3.816,4.5145218852204625,A,1.1830508084959284,4.51
HOUGANG,hdb_resale,11764,-0.04406861240962012,-0.04395651656662294,decimal,4.207,4.396049607529346,B+,1.0449369164557514,4.4
YISHUN,hdb_resale,15822,-0.09110388253726143,-0.09093146792231453,decimal,4.001,4.381870981026358,B+,1.095193946769897,4.38
JURONG EAST,hdb_resale,4743,-0.07694386802136322,-0.07646024848634099,decimal,4.008,4.326472791610733,B+,1.0794592793439954,4.33
BEDOK,hdb_resale,12109,0.004724335024775428,0.004712659429526802,decimal,4.284,4.2638584643799895,B+,0.9952984277264214,4.26
TOA PAYOH,hdb_resale,7637,0.06329876871999929,0.06305108865457869,decimal,4.525,4.248502162639367,B+,0.9388955055556611,4.25
SENGKANG,hdb_resale,18916,-0.08174382558097726,-0.08161438850890666,decimal,3.86,4.188244079469448,B+,1.0850373262874218,4.19
CANBERRA,hdb_resale,7097,-0.13361912329435377,-0.13305667433983562,decimal,3.595,4.106621477465684,B+,1.142314736429954,4.11
BUKIT BATOK,hdb_resale,9855,-0.06368323314608482,-0.06348996081483517,decimal,3.758,4.004332347206228,B+,1.065548788506181,4.0
WOODLANDS,hdb_resale,16583,-0.1351939884829072,-0.1349498531879871,decimal,3.402,3.8935188879078284,B,1.1444793909194086,3.89
ANG MO KIO,hdb_resale,9469,0.017077667044288702,0.01702373189202968,decimal,3.902,3.8361356176088597,B,0.9831203530519886,3.84
PUNGGOL,hdb_resale,16881,-0.01933559664050044,-0.01930129542240363,decimal,3.727,3.799634644476199,B,1.019488769647491,3.8
LENTOR,hdb_resale,9469,0.017077667044288702,0.01702373189202968,decimal,3.771,3.707346851359049,B,0.9831203530519886,3.71
PASIR RIS,hdb_resale,6719,-0.04297568185345568,-0.04278465052205491,decimal,3.475,3.626903048822185,B,1.0437131075747295,3.63
TAMPINES EAST,hdb_resale,16029,0.04295202849038127,0.042871789318907866,decimal,3.783,3.624243425555266,B,0.9580342124121771,3.62
TAMPINES WEST,hdb_resale,16029,0.04295202849038127,0.042871789318907866,decimal,3.777,3.618495220280793,B,0.9580342124121771,3.62
WOODLEIGH,hdb_resale,7637,0.06329876871999929,0.06305108865457869,decimal,3.821,3.5875197267281815,B,0.9388955055556611,3.59
CLEMENTI,hdb_resale,5181,0.09470915637160893,0.09416391079664671,decimal,3.89,3.5404195845596336,B,0.9101335692955356,3.54
BOON KENG,hdb_resale,7104,0.1452722143129268,0.1446613134958021,decimal,4.086,3.535678373435381,B,0.8653153141055754,3.54
GEYLANG,hdb_resale,5796,0.09838068958508117,0.0978740948910317,decimal,3.84,3.481970160650452,C,0.9067630626693886,3.48
TAMPINES,hdb_resale,16029,0.04295202849038127,0.042871789318907866,decimal,3.591,3.440300856772128,C,0.9580342124121771,3.44
CENTRAL AREA,hdb_resale,1815,0.24184423661419174,0.23791181000258982,decimal,4.343,3.423466189582067,C,0.7882722057522604,3.42
BUKIT MERAH,hdb_resale,8897,0.19715759851699666,0.19649503237434068,decimal,4.146,3.406376041109119,C,0.8216054127132463,3.41
BUKIT TIMAH,hdb_resale,567,0.3890555873608168,0.36950505533266886,decimal,4.024,3.018,C,0.75,3.02
BISHAN,hdb_resale,4063,0.26432531316872776,0.2623879177631471,decimal,3.748,2.8830087296125657,D,0.7692125746031392,2.88
DOVER,hdb_resale,6353,0.22643137182243933,0.22536714792229,decimal,3.43,2.73790522957409,D,0.7982230990011924,2.74
SERANGOON,hdb_resale,4095,0.1263138706259479,0.1253952242941277,decimal,3.081,2.7178985650223733,D,0.8821481872841199,2.72
QUEENSTOWN,hdb_resale,6353,0.22643137182243933,0.22536714792229,decimal,3.311,2.642916680792948,D,0.7982230990011924,2.64
MARINE PARADE,hdb_resale,1419,0.2945451003414572,0.2884468580983768,decimal,2.824,2.118,F,0.75,2.12
