estate,segment,n,resid_raw,resid_shrunk,trust,score,value_score,value_band,mult,reported
BUKIT PANJANG,hdb_resale,8317,-0.14040192124525674,-0.13989730190448899,decimal,4.292,4.936468152784271,A,1.1501556739944714,4.94
CHOA CHU KANG,hdb_resale,10482,-0.16916594092527326,-0.1686831614134973,decimal,3.949,4.674609097412829,A,1.1837450234015774,4.67
SEMBAWANG,hdb_resale,7097,-0.13679814784424593,-0.13622231727944192,decimal,4.041,4.630729908863636,A,1.145936626791298,4.63
YISHUN,hdb_resale,15822,-0.10200864404773924,-0.10181559210972113,decimal,4.172,4.619151957436697,A,1.1071792803060156,4.62
BEDOK,hdb_resale,12109,-0.010802320630212137,-0.010775624063860931,decimal,4.442,4.490124140256976,B+,1.010833890197428,4.49
HOUGANG,hdb_resale,11764,-0.05230521526531806,-0.05217216825344843,decimal,4.261,4.489206871225326,B+,1.0535571159881074,4.49
SENGKANG,hdb_resale,18916,-0.09224201704060775,-0.09209595663148448,decimal,4.059,4.450571854220293,B+,1.096470030603669,4.45
TOA PAYOH,hdb_resale,7637,0.049790260655131036,0.049595437670962125,decimal,4.56,4.339361362797501,B+,0.9516143339468205,4.34
CANBERRA,hdb_resale,7097,-0.13679814784424593,-0.13622231727944192,decimal,3.786,4.338516069031854,B+,1.145936626791298,4.34
BUKIT BATOK,hdb_resale,9855,-0.06775512800578198,-0.06754949787526056,decimal,3.984,4.2624147294891745,B+,1.0698832152332265,4.26
PASIR RIS,hdb_resale,6719,-0.05192410587391727,-0.05169329787625118,decimal,3.906,4.113223922267353,B+,1.0530527194744885,4.11
ANG MO KIO,hdb_resale,9469,0.011192027544204564,0.01115668057859816,decimal,4.155,4.108901622791052,B+,0.9889053243781111,4.11
JURONG EAST,hdb_resale,4743,-0.05489669018926335,-0.05455164499636396,decimal,3.813,4.0267835304162825,B+,1.0560670155825551,4.03
WOODLANDS,hdb_resale,16583,-0.11431389368178202,-0.11410746396947935,decimal,3.478,3.898394804817899,B,1.120872571828033,3.9
TAMPINES WEST,hdb_resale,16029,0.05066377478519257,0.05056912921301965,decimal,4.012,3.8141610827655352,B,0.9506882060731644,3.81
GEYLANG,hdb_resale,5796,0.09177828967523105,0.09130569292098696,decimal,4.135,3.774174319833523,B,0.912738650503875,3.77
CENTRAL AREA,hdb_resale,1815,0.21499167562311428,0.21149587601950315,decimal,4.632,3.7490139706648433,B,0.8093726188827383,3.75
CLEMENTI,hdb_resale,5181,0.09182092736458891,0.09129230947533411,decimal,4.1,3.742278551312346,B,0.912750866173743,3.74
WOODLEIGH,hdb_resale,7637,0.049790260655131036,0.049595437670962125,decimal,3.919,3.7293765747375893,B,0.9516143339468205,3.73
BOON KENG,hdb_resale,7104,0.1392463307909857,0.138660770106419,decimal,4.207,3.662291463768595,B,0.87052328589698,3.66
TAMPINES EAST,hdb_resale,16029,0.05066377478519257,0.05056912921301965,decimal,3.849,3.65919890517561,B,0.9506882060731644,3.66
TAMPINES,hdb_resale,16029,0.05066377478519257,0.05056912921301965,decimal,3.771,3.585045225101903,B,0.9506882060731644,3.59
BUKIT MERAH,hdb_resale,8897,0.1882129780896964,0.18758047116209922,decimal,4.278,3.546301181116018,B,0.828962407928008,3.55
LENTOR,hdb_resale,9469,0.011192027544204564,0.01115668057859816,decimal,3.576,3.5363254399761255,B,0.9889053243781111,3.54
PUNGGOL,hdb_resale,16881,0.011662829077174308,0.011642139297014392,decimal,3.453,3.4130327963103153,C,0.9884253681755909,3.41
BUKIT TIMAH,hdb_resale,567,0.38870574652936085,0.36917279444251005,decimal,4.1,3.0749999999999997,C,0.75,3.08
SERANGOON,hdb_resale,4095,0.14291266854415774,0.1418733036820259,decimal,3.428,2.974582512012568,D,0.8677311878683105,2.97
BISHAN,hdb_resale,4063,0.26949354948492577,0.26751827304111514,decimal,3.885,2.973098606420235,D,0.7652763465689152,2.97
QUEENSTOWN,hdb_resale,6353,0.24513247917231773,0.2439803603606087,decimal,3.553,2.783786236556908,D,0.7835030218285697,2.78
DOVER,hdb_resale,6353,0.24513247917231773,0.2439803603606087,decimal,3.509,2.7493121035964507,D,0.7835030218285697,2.75
MARINE PARADE,hdb_resale,1419,0.3235655091881888,0.31686643032303025,decimal,3.203,2.40225,F,0.75,2.4
