estate,segment,n,resid_raw,resid_shrunk,trust,score,value_score,value_band,mult,reported
BUKIT PANJANG,hdb_resale,8317,-0.13517374069946264,-0.1346879119920224,decimal,4.033,4.614476503763028,A,1.1441796438787573,4.61
BEDOK,hdb_resale,12109,-0.018449105949308375,-0.01840351132219749,decimal,4.317,4.397183524483032,B+,1.0185738995791134,4.4
SEMBAWANG,hdb_resale,7097,-0.136578434073801,-0.13600352836000362,decimal,3.818,4.374228903572264,B+,1.1456859359801634,4.37
HOUGANG,hdb_resale,11764,-0.056509861877223955,-0.05636611964758715,decimal,4.107,4.345144238599771,B+,1.0579849619186197,4.35
TOA PAYOH,hdb_resale,7637,0.039883560279344366,0.03972750095909387,decimal,4.469,4.294938210667493,B+,0.9610512890283046,4.29
CHOA CHU KANG,hdb_resale,10482,-0.16409375279733673,-0.16362544870830134,decimal,3.638,4.284738523371142,B+,1.1777730960338488,4.28
YISHUN,hdb_resale,15822,-0.09133955364561253,-0.09116669302175508,decimal,3.816,4.18024328337681,B+,1.095451594176313,4.18
JURONG EAST,hdb_resale,4743,-0.07752636906578303,-0.07703908830483744,decimal,3.85,4.158324532791761,B+,1.0800842942316262,4.16
SENGKANG,hdb_resale,18916,-0.08401202276818598,-0.08387899412451104,decimal,3.747,4.074852354191008,B+,1.0874972922847632,4.07
CANBERRA,hdb_resale,7097,-0.136578434073801,-0.13600352836000362,decimal,3.544,4.0603109571137,B+,1.1456859359801634,4.06
BUKIT BATOK,hdb_resale,9855,-0.05772326636571634,-0.05754808194578804,decimal,3.608,3.821724208040861,B,1.059236199567866,3.82
PUNGGOL,hdb_resale,16881,-0.02146196497892383,-0.021423891597728898,decimal,3.686,3.7658204436993667,B,1.0216550308462742,3.77
ANG MO KIO,hdb_resale,9469,0.017107286649160613,0.017053257951460326,decimal,3.809,3.7445948600123815,B,0.983091325810549,3.74
WOODLANDS,hdb_resale,16583,-0.11995923151551047,-0.1197426073690297,decimal,3.264,3.679202602031651,B,1.1272066795440108,3.68
WOODLEIGH,hdb_resale,7637,0.039883560279344366,0.03972750095909387,decimal,3.82,3.6712159240881235,B,0.9610512890283046,3.67
LENTOR,hdb_resale,9469,0.017107286649160613,0.017053257951460326,decimal,3.646,3.5843509739052615,B,0.983091325810549,3.58
BOON KENG,hdb_resale,7104,0.1341319814629136,0.13356792771412362,decimal,4.042,3.5366207868822745,B,0.8749680323805726,3.54
TAMPINES WEST,hdb_resale,16029,0.05509128763097415,0.05498837097184784,decimal,3.688,3.4906778186070424,C,0.9464961547199139,3.49
TAMPINES EAST,hdb_resale,16029,0.05509128763097415,0.05498837097184784,decimal,3.675,3.4783733685956832,C,0.9464961547199139,3.48
CENTRAL AREA,hdb_resale,1815,0.22408217212323933,0.22043855956840064,decimal,4.306,3.4541307697040584,C,0.8021669228295537,3.45
GEYLANG,hdb_resale,5796,0.10056515488413886,0.10004731165610858,decimal,3.745,3.3884558132960834,C,0.9047946096918781,3.39
BUKIT MERAH,hdb_resale,8897,0.18743520376321854,0.18680531061738267,decimal,4.065,3.3723452843195783,C,0.8296052359949762,3.37
CLEMENTI,hdb_resale,5181,0.10178074298456607,0.10119478591499839,decimal,3.695,3.3393820285745197,C,0.9037569766101542,3.34
PASIR RIS,hdb_resale,6719,-0.021483886039241895,-0.02138838795342221,decimal,3.216,3.2855259289869334,C,1.0216187590133499,3.29
TAMPINES,hdb_resale,16029,0.05509128763097415,0.05498837097184784,decimal,3.431,3.2474283068440246,C,0.9464961547199139,3.25
BUKIT TIMAH,hdb_resale,567,0.38050660625162,0.36138567126413457,decimal,3.929,2.9467499999999998,D,0.75,2.95
BISHAN,hdb_resale,4063,0.2656247242918397,0.26367780473925345,decimal,3.665,2.8155300271489745,D,0.7682210169574282,2.82
DOVER,hdb_resale,6353,0.24479339134316014,0.24364286623893408,decimal,3.374,2.6444315251580544,D,0.7837674941191625,2.64
SERANGOON,hdb_resale,4095,0.14695393081997032,0.14588517495946624,decimal,3.038,2.6256125710364273,D,0.8642569358250255,2.63
QUEENSTOWN,hdb_resale,6353,0.24479339134316014,0.24364286623893408,decimal,3.239,2.538622913451967,D,0.7837674941191625,2.54
MARINE PARADE,hdb_resale,1419,0.31991377848583546,0.31329030481119413,decimal,2.868,2.151,F,0.75,2.15
