estate,segment,n,resid_raw,resid_shrunk,trust,conn,amen,green,sch,hlth,eldercare,infra,childcare,community,sport,flood,noise,air_noise,jtc_industrial,air_quality,stewardship,env,dens,mom,hawker,provision,weight_covered,score,provision_private,score_private,measured_only,band,value_score,value_band,mult,value_basis,reported
BUKIT PANJANG,hdb_resale,8317,-0.11113198206026986,-0.11073256197379475,decimal,5.0,4.2,3.0,5.0,5.0,4.5,5.0,5.0,5.0,5.0,5.0,2.0,5.0,2.0,2.0,5.0,3.5,1.0,3.0,3.4,4.03,1.0,4.03,4.02,4.02,False,B+,4.50189733507682,A,1.1170961129222878,direct,4.5
SEMBAWANG,hdb_resale,7097,-0.12363877244411903,-0.12311833422701181,decimal,3.75,3.95,4.0,5.0,2.9,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,4.5,1.0,4.0,3.4,3.89,1.0,3.89,3.95,3.95,False,B,4.3996609971659595,B+,1.1310182511994753,direct,4.4
YISHUN,hdb_resale,15822,-0.08226238733684976,-0.0821067053017687,decimal,4.0,4.6,4.0,5.0,4.45,5.0,4.0,5.0,4.0,3.0,5.0,5.0,4.0,4.0,3.0,4.5,4.0,1.0,3.0,4.4,3.96,1.0,3.96,4.02,4.02,False,B,4.298863694000139,B+,1.085571639899025,direct,4.3
CHOA CHU KANG,hdb_resale,10482,-0.1639291473560247,-0.16346131303137854,decimal,3.65,3.05,4.0,5.0,3.9,4.5,4.0,5.0,4.0,5.0,5.0,1.0,5.0,2.0,2.0,4.5,4.0,2.0,4.0,1.8,3.63,1.0,3.63,3.65,3.65,False,B,4.274614664248047,B+,1.1775797973135118,direct,4.27
HOUGANG,hdb_resale,11764,-0.025655556718128913,-0.025590297543841692,decimal,4.85,3.4,4.3,5.0,4.45,4.5,5.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,3.0,5.0,3.5,2.0,3.0,1.8,4.08,1.0,4.08,4.1,4.1,False,B+,4.185755803987561,B+,1.0259205401930298,direct,4.19
BEDOK,hdb_resale,12109,0.026468592455200834,0.02640317868358403,decimal,4.45,5.0,4.0,4.4,5.0,5.0,5.0,5.0,5.0,5.0,1.0,3.0,4.0,3.0,3.0,4.5,4.5,1.0,4.0,4.8,4.18,1.0,4.18,4.17,4.17,False,B+,4.071078971376499,B+,0.9739423376498803,direct,4.07
JURONG WEST,hdb_resale,15342,-0.13254198874336875,-0.13228331975675017,decimal,3.25,4.2,3.0,5.0,3.9,4.5,3.0,5.0,4.0,4.0,5.0,3.0,5.0,3.0,3.0,5.0,3.5,1.0,4.0,3.4,3.54,1.0,3.54,3.62,3.62,False,B,4.040668089149068,B+,1.1414316636014317,direct,4.04
CANBERRA,hdb_resale,7097,-0.12363877244411903,-0.12311833422701181,decimal,,,,,,,,,,,,,,,,,,,,,,,3.57,,,,,4.0377351567821265,B+,1.1310182511994753,proxy_from:SEMBAWANG,4.04
SENGKANG,hdb_resale,18916,-0.07785969417075389,-0.07773640741760693,decimal,3.75,4.2,3.0,5.0,4.45,5.0,4.0,5.0,5.0,5.0,4.0,2.0,3.0,3.0,3.0,4.0,3.0,1.0,3.0,3.4,3.66,1.0,3.66,3.69,3.69,False,B,3.955866056342173,B,1.0808377203120692,direct,3.96
BUKIT BATOK,hdb_resale,9855,-0.06381924660732174,-0.06362556148863492,decimal,3.9,3.05,4.0,5.0,4.45,4.0,4.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,2.0,4.5,4.0,1.0,3.0,1.8,3.66,1.0,3.66,3.71,3.71,False,B,3.9004374320184083,B,1.0656932874367235,direct,3.9
